Electrolyte,Ionic Conductivity,LIC,Solvent_1,Solvent_2,Solvent_3,Solvent_4,Solvent_5,Salt_1,Salt_2,Salt_3,Temperature,Reference
LiFSI:EmimFSI:None (1:2:0 mol/mol) (neat ionic liquid electrolyte FE),5.28,0.72,,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,CCN1C=C[N+](=C1)C.[N-](S(=O)(=O)F)S(=O)(=O)F:2,,20.0,90
"LiFSI:EmimFSI:BnF (1:2:0.55 mol/mol) (locally concentrated ionic liquid electrolyte, FEF)",6.8,0.83,C1=CC=C(C=C1)F:0.55,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,CCN1C=C[N+](=C1)C.[N-](S(=O)(=O)F)S(=O)(=O)F:2,,20.0,90
"LiFSI:EmimFSI:BnCF (1:2:0.55 mol/mol) (locally concentrated ionic liquid electrolyte, FECF)",6.1,0.79,C1=CC=C(C=C1)OC(F)(F)F:0.55,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,CCN1C=C[N+](=C1)C.[N-](S(=O)(=O)F)S(=O)(=O)F:2,,20.0,90
"LiFSI:EmimFSI:BnOCF (1:2:0.55 mol/mol) (locally concentrated ionic liquid electrolyte, FEOCF)",6.38,0.8,C1=CC=C(C=C1)OC(F)(F)F:0.55,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,CCN1C=C[N+](=C1)C.[N-](S(=O)(=O)F)S(=O)(=O)F:2,,20.0,90
"LiFSI:EmimFSI:BTFE (1:2:2 molar ratio), EmiBE; LiFSI concentration: 1.35 mol/L (at 20 °C)",9.46,0.98,C(C(F)(F)F)OCC(F)(F)F:2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,CCN1C=C[N+](=C1)C.[N-](S(=O)(=O)F)S(=O)(=O)F:2,,20.0,91
"LiFSI:Pyr14FSI:BTFE (1:2:2 molar ratio), PyrBE; LiFSI concentration: 1.20 mol/L (at 20 °C)",4.02,0.6,C(C(F)(F)F)OCC(F)(F)F:2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,CCCC[N+]1(CCCC1)C.[N-](S(=O)(=O)F)S(=O)(=O)F:2,,20.0,91
"LiFSI:EmimFSI 1:2 (0.243:0.757 mass ratio), FE",5.28,0.72,,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,CCN1C=C[N+](=C1)C.[N-](S(=O)(=O)F)S(=O)(=O)F:2,,20.0,92
"LiFSI:EmimFSI:dFBn 1:2:2 (0.187:0.584:0.229 mass ratio), FEdF",8.84,0.95,C1=CC=C(C(=C1)F)F:2,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,CCN1C=C[N+](=C1)C.[N-](S(=O)(=O)F)S(=O)(=O)F:2,,20.0,92
1 M LiPF6 in EC:DMC:FEC (10:10:1 by volume),9.91,1.0,C1COC(=O)O1:7.13782821904762,COC(=O)OC:5.65647338571429,C1C(OC(=O)O1)F:0.65285699,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,96
1 M LiPF6 + 0.1 M LiTFA in EC:DMC:FEC (10:10:1 by volume),9.72,0.99,C1COC(=O)O1:7.13782821904762,COC(=O)OC:5.65647338571429,C1C(OC(=O)O1)F:0.65285699,,,[Li+].F[P-](F)(F)(F)(F)F:1,[Li+].C(=O)(C(F)(F)F)[O-]:0.1,,25.0,96
1 M LiPF6 + 0.1 M LiTFA + 0.1 M LiNO3 in EC:DMC:FEC (10:10:1 by volume),9.63,0.98,C1COC(=O)O1:7.13782821904762,COC(=O)OC:5.65647338571429,C1C(OC(=O)O1)F:0.65285699,,,[Li+].F[P-](F)(F)(F)(F)F:1,[Li+].[N+](=O)([O-])[O-]:0.1,[Li+].C(=O)(C(F)(F)F)[O-]:0.1,25.0,96
1.0 M LiFSI in FEC:FEMC:DME (3:3:2 v/v) + 0.5 wt% LiNO3,9.88,0.99,C1C(OC(=O)O1)F:5.14124879778226,COC(=O)OCC(F)(F)F:3.17877024291498,COCCOC:2.40790057700843,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].[N+](=O)([O-])[O-]:0.1027306019,,25.0,97
0.75 M LiFSI in FEC:FEMC:DME (3:3:2 v/v) + 0.5 wt% LiNO3,9.27,0.97,C1C(OC(=O)O1)F:5.14124879778226,COC(=O)OCC(F)(F)F:3.17877024291498,COCCOC:2.40790057700843,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.75,[Li+].[N+](=O)([O-])[O-]:0.1027306019,,25.0,97
1.0 M LiFSI in FEC:FEMC (1:1 v/v),9.8,0.99,C1C(OC(=O)O1)F:6.854998397,COC(=O)OCC(F)(F)F:4.238360324,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,97
DEE-2:1 (molar ratio: 2:1 LiDFOB:18-crown-6 ether),0.06,-1.21,O1CCOCCOCCOCCOCCOCC1:1,,,,,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:2,,,25.0,98
DEE-4:1 (molar ratio: 4:1 LiDFOB:18-crown-6 ether),0.07,-1.18,O1CCOCCOCCOCCOCCOCC1:1,,,,,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:4,,,25.0,98
DEE-6:1 (molar ratio: 6:1 LiDFOB:18-crown-6 ether),0.07,-1.16,O1CCOCCOCCOCCOCCOCC1:1,,,,,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:6,,,25.0,98
DEE-8:1 (molar ratio: 8:1 LiDFOB:18-crown-6 ether),0.07,-1.15,O1CCOCCOCCOCCOCCOCC1:1,,,,,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:8,,,25.0,98
2 m LiFSI in DEE,11.13,1.05,CCOCCOCC:7.12520732491622,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,99
4 m LiFSI in DEE,5.5,0.74,CCOCCOCC:7.12520732491622,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4,,,25.0,99
"2 M LiFSI PhH/DEE (1:1, v)",9.83,0.99,C1=CC=CC=C1:5.607476635,CCOCCOCC:3.5626036625,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,99
"BE: 1.2 M LiPF6 in FEC:EMC (1:5, vol%)",5.61,0.75,C1C(OC(=O)O1)F:2.28499946568101,CCOC(=O)OC:8.05284459130613,,,,[Li+].F[P-](F)(F)(F)(F)F:1.2,,,25.0,101
"AF: 1.2 M LiPF6 in FEC:FEMC (1:5, vol%)",2.31,0.36,C1C(OC(=O)O1)F:2.28499946568101,COC(=O)OCC(F)(F)F:7.0639338731444,,,,[Li+].F[P-](F)(F)(F)(F)F:1.2,,,25.0,101
AF-HCE: 4.5 M LiFSI in FEC/FEMC/TTE (1:5:2 vol%),2.08,0.32,C1C(OC(=O)O1)F:1.71374959926075,COC(=O)OCC(F)(F)F:5.2979504048583,FC(F)C(F)(F)COC(F)(F)C(F)F:1.6506019424169,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:4.5,,,25.0,101
1 m LiTFSI in DOL/FEC (5/5 vol/vol),0.38,-0.42,O1CCOC1:7.154620805,C1C(OC(=O)O1)F:6.85499839704302,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,102
1 m LiTFSI in DME/FEC (5/5 vol/vol),0.48,-0.32,COCCOC:4.815801154,C1C(OC(=O)O1)F:6.85499839704302,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,102
1 m LiTFSI in G2/FEC (5/5 vol/vol),1.22,0.09,COCCOCCOC:3.491838712,C1C(OC(=O)O1)F:6.85499839704302,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,102
1 m LiTFSI in G3/FEC (5/5 vol/vol),0.84,-0.07,COCCOCCOCCOCCOC:2.766088762,C1C(OC(=O)O1)F:6.85499839704302,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,102
"1.0 M LiPF6 EC/DEC/TEP (1:1:1 by vol)+5 wt% FEC+2 wt% LiNO3, HSPE",7.71,0.89,C1COC(=O)O1:4.99647975290137,O=C(OCC)OCC:2.75120629814611,CCOP(=O)(OCC)OCC:1.96172082443514,C1C(OC(=O)O1)F:0.6007497753,,[Li+].F[P-](F)(F)(F)(F)F:1,[Li+].[N+](=O)([O-])[O-]:0.2,,25.0,104
"1.4M LiPF6 EC/DEC/TEP (1:1:1 by vol)+5 wt% FEC, SSPE",7.75,0.89,C1COC(=O)O1:4.99647975290137,O=C(OCC)OCC:2.75120629814611,CCOP(=O)(OCC)OCC:1.96172082443514,C1C(OC(=O)O1)F:0.6007497753,,[Li+].F[P-](F)(F)(F)(F)F:1.4,,,25.0,104
"1 M LiPF6 EC/DEC (1:1 by vol)+5 wt% FEC, CCE",8.68,0.94,C1COC(=O)O1:7.494719629,O=C(OCC)OCC:4.126809447,C1C(OC(=O)O1)F:0.6007497753,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,104
1 M LiFSI in DME with 1% LiDFBP + 1% LiNO3,15.0,1.18,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].[P-](F)(F)12(OC(=O)C(=O)O1)OC(=O)C(=O)O2:0.05666812227,[Li+].[N+](=O)([O-])[O-]:0.2070297317,25.0,105
"1 M LiFSI in DME/DMCF3SA (3/7, v/v) with 1% LiDFBP + 1% LiNO3",6.8,0.83,COCCOC:2.88948069241012,CN(C)S(=O)(=O)C(F)(F)F:5.53203499858877,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].[P-](F)(F)12(OC(=O)C(=O)O1)OC(=O)C(=O)O2:0.05666812227,[Li+].[N+](=O)([O-])[O-]:0.2070297317,25.0,105
"1 M LiFSI in DME/TFSPP (3/7, v/v) with 1% LiDFBP + 1% LiNO3",5.9,0.77,COCCOC:2.88948069241012,C1CCCN(C1)S(=O)(=O)C(F)(F)F:4.3506284241057,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].[P-](F)(F)12(OC(=O)C(=O)O1)OC(=O)C(=O)O2:0.05527868201,[Li+].[N+](=O)([O-])[O-]:0.2019535895,25.0,105
"LiFSI : TG = (1 : 2.27 mol/mol), About 2 M (TG-MCE)",3.45,0.54,COCCOCCOCCOCCOC:2.27,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,106
"LiFSI : TG = (1 : 0.61 mol/mol), About 5 M (TG-HCE)",0.46,-0.34,COCCOCCOCCOCCOC:0.61,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,106
"LiFSI : TG : TTE = (1 : 0.61 : 1.98 mol/mol/mol), Whole ≈ 2 M, Local ≈ 5 M (TG-DHCE)",4.91,0.69,COCCOCCOCCOCCOC:0.61,FC(F)C(F)(F)COC(F)(F)C(F)F:0.98,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,106
1.5 M LiDFOB in FEC:TFP (1:2 by volume),4.4,0.64,C1C(OC(=O)O1)F:4.56999893136201,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F:3.02525648850525,,,,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:1.5,,,25.0,107
1 M LiFSI in DTDL,1.4,0.15,COC1(OCC(O1)C(F)(F)F)OC:6.480977589,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,109
1 m LiDFOB + 0.5 m LiNO3 in DME:PFPN (7:3 vol/vol),5.54,0.74,COCCOC:6.74212161562361,CCOP1(=NP(=NP(=N1)(F)F)(F)F)F:1.70188006836612,,,,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:1,[Li+].[N+](=O)([O-])[O-]:0.5,,30.0,110
1 m LiPF6 in FEC:FEMC:TTE (2:6:2 vol/vol),3.29,0.52,C1C(OC(=O)O1)F:2.74199935881721,COC(=O)OCC(F)(F)F:5.08603238866397,FC(F)C(F)(F)COC(F)(F)C(F)F:1.32048155393352,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,30.0,110
LiFSI:DME:TFSF = 1:1.2:3 (molar ratio),2.38,0.38,COCCOC:1.2,C(C(F)(F)F)OS(=O)(=O)C(F)(F)F:3,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,111
1.8 M LiFSI in DME,13.74,1.14,COCCOC:9.63160230803373,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.8,,,25.0,111
"1 M LiPF6 in EC:DEC (molar ratio 1:4:4), abbreviated as ED",6.4,0.81,C1COC(=O)O1:4,O=C(OCC)OCC:4,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,112
"1 M LiPF6 in FEC:ETFEC (molar ratio 1:4:4), abbreviated as FE",3.3,0.52,C1C(OC(=O)O1)F:4,O=C(OCC(F)(F)(F))OCC:4,,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,112
"1 M LiPF6 in FEC:ETFEC:PFPN (molar ratio 1:3.8:3.8:0.4), abbreviated as FEP",3.1,0.49,C1C(OC(=O)O1)F:3.8,O=C(OCC(F)(F)(F))OCC:3.8,CCOP1(=NP(=NP(=N1)(F)F)(F)F)F:0.4,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,112
1 M LiFSI in THF2,2.22,0.35,CC1CCCO1:9.91593516325299,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,114
"1 M LiFSI in THF2/TTE (0.2/0.75, v/v)",0.64,-0.19,CC1CCCO1:2.08756529747368,FC(F)C(F)(F)COC(F)(F)C(F)F:5.21242718684211,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,114
"1 M LiFSI in THF2/TTE/FMP (0.2/0.625/0.125, v/v)",0.76,-0.12,CC1CCCO1:2.08756529747368,FC(F)C(F)(F)COC(F)(F)C(F)F:4.34368932236842,C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F:0.668715630040668,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,114
"1 M LiTFSI in DOL/DME (1/1, v/v)",13.43,1.13,O1CCOC1:7.15462080509733,COCCOC:4.81580115401687,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,114
"1.0 mol/L LiPF6 in EC:EMC:DMC (1:1:1 by mass), denoted as EED electrolyte",11.48,1.06,C1COC(=O)O1:4.227407963,CCOC(=O)OC:3.575981711,COC(=O)OC:4.132796021,,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,115
"1.0 mol/L LiPF6 in EC:EMC:DMC:TFEC (5 wt% TFEC added, denoted as EEDT electrolyte)",10.9,1.04,C1COC(=O)O1:4.227407963,CCOC(=O)OC:3.575981711,COC(=O)OC:4.132796021,C(C(F)(F)F)OC(=O)OCC(F)(F)F:0.2805900072,,[Li+].F[P-](F)(F)(F)(F)F:1,,,25.0,115
1.0 M LiFSI in BFME,2.32,0.37,FCCOCOCCF:8.778190123,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,116
1.2 M LiFSI in F2DEM,3.01,0.48,FCCOCOCCF:8.778190123,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,117
1.6 M LiFSI in F2DEM,3.31,0.52,FCCOCOCCF:8.778190123,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.6,,,25.0,117
2 M LiFSI in F2DEM,3.58,0.55,FCCOCOCCF:8.778190123,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,117
3 M LiFSI in F2DEM,3.12,0.49,FCCOCOCCF:8.778190123,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,25.0,117
1.2 M LiFSI in DEM,3.27,0.51,CCOCOCC:7.97887662,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,117
1.6 M LiFSI in DEM,2.99,0.48,CCOCOCC:7.97887662,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.6,,,25.0,117
2 M LiFSI in DEM,4.85,0.69,CCOCOCC:7.97887662,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,117
3 M LiFSI in DEM,1.57,0.2,CCOCOCC:7.97887662,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,25.0,117
1.2 M LiFSI in F5DEE,2.29,0.36,FC(F)COCCOCC(F)(F)(F):6.19798973728211,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,117
1.6 M LiFSI in F5DEE,1.92,0.28,FC(F)COCCOCC(F)(F)(F):6.19798973728211,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.6,,,25.0,117
2 M LiFSI in F5DEE,1.85,0.27,FC(F)COCCOCC(F)(F)(F):6.19798973728211,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,117
"1 M LiFSI in FEC:EMC (1:1 vol/vol) (DE, dilute electrolyte, baseline control)",9.73,0.99,C1C(OC(=O)O1)F:6.854998397,CCOC(=O)OC:4.83170675478368,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,118
"1 M LiFSI in EMC:FEC:D2 (1.5:1.5:7 by volume) (LPE, low-polarity electrolyte)",2.87,0.46,CCOC(=O)OC:1.449512026,C1C(OC(=O)O1)F:2.056499519,C(C(F)(F)F)OC(C(F)F)(F)F:5.20283509277031,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,118
"1 M LiFSI in EMC:FEC:DTF (1.5:1.5:7 by volume) (DCE, decoordination electrolyte)",3.12,0.49,CCOC(=O)OC:1.449512026,C1C(OC(=O)O1)F:2.056499519,C(C(F)F)OS(=O)(=O)C(F)(F)F:5.26691887347625,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,118
"1 mol L−1 LiTFSI in FDMA/EC (FDMA:EC, 1:1 vol/vol)",7.34,0.87,CN(C)C(=O)C(F)(F)F:4.464981786,C1COC(=O)O1:7.494719629,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,119
"1 mol L−1 LiTFSI in FDMA/FEC (FDMA:FEC, 1:1 vol/vol)",5.79,0.76,CN(C)C(=O)C(F)(F)F:4.464981786,C1C(OC(=O)O1)F:6.854998397,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,119
"1 mol L−1 LiTFSI in FDMA/DFEC (FDMA:DFEC, 1:1 vol/vol)",3.65,0.56,CN(C)C(=O)C(F)(F)F:4.464981786,FC1OC(=O)OC1F:6.127055788,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,119
1 mol L-1 LiTFSI in EC solvent,0.8,-0.1,C1COC(=O)O1:14.98943926,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,119
1 mol L-1 LiTFSI in FEC solvent,0.39,-0.41,C1C(OC(=O)O1)F:13.70999679,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,119
1 mol L-1 LiTFSI in DFEC solvent,0.26,-0.59,FC1OC(=O)OC1F:12.25411158,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,119
2 M LiFSI in DME,10.48,1.02,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,122
2 M LiFSI in DMP,7.66,0.88,COCC(C)OC:8.20931349,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,122
2 M LiFSI in TFDMP,7.4,0.87,COCC(C(F)(F)(F))OC:7.08322792815583,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,25.0,123
0.5 M LiFSI in diethyl ether (DEE) ,0.28,-0.55,CCOCC:9.624932542,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.5,,,30.0,124
1 M LiFSI in diethyl ether (DEE) ,0.9,-0.05,CCOCC:9.624932542,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,124
1.5 M LiFSI in diethyl ether (DEE) ,1.39,0.14,CCOCC:9.624932542,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.5,,,30.0,124
2 M LiFSI in diethyl ether (DEE) ,1.81,0.26,CCOCC:9.624932542,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,30.0,124
2.5 M LiFSI in diethyl ether (DEE),1.89,0.28,CCOCC:9.624932542,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.5,,,30.0,124
0.5 M LiFSI in bis(2-fluoroethyl) ether (BFE) ,5.39,0.73,C(F)COCCF:8.900756564,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.5,,,30.0,124
1 M LiFSI in bis(2-fluoroethyl) ether (BFE) ,7.5,0.88,C(F)COCCF:8.900756564,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,30.0,124
1.5 M LiFSI in bis(2-fluoroethyl) ether (BFE) ,7.79,0.89,C(F)COCCF:8.900756564,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.5,,,30.0,124
2 M LiFSI in bis(2-fluoroethyl) ether (BFE) ,7.99,0.9,C(F)COCCF:8.900756564,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2,,,30.0,124
2.5 M LiFSI in bis(2-fluoroethyl) ether (BFE) ,7.87,0.9,C(F)COCCF:8.900756564,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:2.5,,,30.0,124
0.9 M LiFSI in DME,23.4,1.37,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.9,,,25.0,125
3 M LiFSI in DME,10.1,1.0,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,25.0,125
0.9 M LiFSI in DEE,11.0,1.04,CCOCCOCC:7.125207325,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.9,,,25.0,125
3 M LiFSI in DEE,8.11,0.91,CCOCCOCC:7.125207325,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,25.0,125
0.9 M LiFSI in DMM,2.93,0.47,COCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.9,,,25.0,125
3 M LiFSI in DMM,8.03,0.9,COCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,25.0,125
0.9 M LiFSI in DEM,0.88,-0.05,CCOCOCC:7.97887662,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:0.9,,,25.0,125
3 M LiFSI in DEM,2.73,0.44,CCOCOCC:7.97887662,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:3,,,25.0,125
1 M LiTFSI in DME,16.4,1.21,COCCOC:9.631602308,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F:1,,,25.0,126
1 M LiSTFSI in DME,9.88,0.99,COCCOC:9.631602308,,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)C(F)(F)F:1,,,25.0,126
1 M LiBSTFSI in DME,0.74,-0.13,COCCOC:9.631602308,,,,,[Li+].C(F)(F)(F)S(=O)[N-]S(=O)C(F)(F)F:1,,,25.0,126
1 M LiFSI in DME,21.3,1.33,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,126
1 M LiFSI + 0.2 M LiNO3 in DME (E-DME),16.66,1.22,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].[N+](=O)([O-])[O-]:0.2,,25.0,126
1 M LiFSI + 0.2 M LiNO3 in DME + 0.3 M LiDFOB (E-LiDFOB),15.46,1.19,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].[N+](=O)([O-])[O-]:0.2,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F:0.3,25.0,126
1 M LiFSI + 0.2 M LiNO3 in DME + 0.3 M LiSTFSI (E-LiSTFSI),15.34,1.19,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].[N+](=O)([O-])[O-]:0.2,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)C(F)(F)F:0.3,25.0,126
1 M LiFSI + 0.2 M LiNO3 in DME + 0.3 M LiBSTFSI (E-LiBSTFSI),10.01,1.0,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,[Li+].[N+](=O)([O-])[O-]:0.2,[Li+].C(F)(F)(F)S(=O)[N-]S(=O)C(F)(F)F:0.3,25.0,126
1.2 m LiFSI in DME,14.71,1.17,COCCOC:9.631602308,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,127
1.2 m LiFSI in DMC,10.69,1.03,COC(=O)OC:11.87859411,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,127
1.2 m LiFSI in BMC + 0.75 wt.% LiNO3 + 1 wt.% LiDFBOP,2.48,0.39,COCCOC(=O)OCCOC:5.999551016,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,[Li+].[N+](=O)([O-])[O-]:0.1406980421,[Li+].[P-](F)(F)12(OC(=O)C(=O)O1)OC(=O)C(=O)O2:0.05134910679,25.0,127
1.2 m LiFSI in BMC,2.56,0.41,COCCOC(=O)OCCOC:5.999551016,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.2,,,25.0,127
2.2 M LiFSI in DME:MFSI (1:1.2:2 mol/mol),2.34,0.37,COCCOC:1.2, S(F)(=O)(=O)N(C)S(=O)(=O)F:2,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,128
1 M LiFSI in DME:TFF (1:1.2:7 mol/mol),3.31,0.52,COCCOC:1.2,C1(F)(F)C(F)(F)COC1:7,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1,,,25.0,128
1.6 M LiFSI in DmTFSA,1.36,0.13,C(F)(F)(F)S(=O)(=O)N(C)C:7.338413774,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.6,,,25.0,129
1.6 M LiFSI in AzTFSA,1.05,0.02,C(F)(F)(F)S(=O)(=O)N1CCC1:6.872488898,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.6,,,25.0,129
1.6 M LiFSI in PyTFSA,0.73,-0.14,C(F)(F)(F)S(=O)(=O)N1CCCC1:6.398897421,,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F:1.6,,,25.0,129
